"gene_id","symbol","biotype","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000051285","Pcmtd1","protein_coding",2126.23888297674,-0.178232286523642,0.0720909688186255,0.0120903898187103,0.0361312559803705
"ENSMUSG00000026312","Cdh7","protein_coding",0.556705413894979,-0.074121349744601,0.377765813506059,0.234927146945925,NA
"ENSMUSG00000039748","Exo1","protein_coding",75.3279843038562,-0.499697719403798,0.206195042467702,0.00488936377215177,0.0163411902569518
"ENSMUSG00000057363","Uxs1","protein_coding",934.536530801485,0.125064387787251,0.0751700734783877,0.0893804338689642,0.191856394012424
"ENSMUSG00000047216","Cdh19","protein_coding",2.68443332129458,-0.319541845087613,0.576779666878773,0.0086676093279277,NA
"ENSMUSG00000038702","Dsel","protein_coding",329.349920455559,0.695328117858202,0.105185558645867,9.89759294535605e-12,1.13699039244161e-10
"ENSMUSG00000078184","Rbm8a2","protein_coding",40.4863510516403,0.215604742008193,0.246681646014966,0.251075553432462,0.417197287344921
"ENSMUSG00000033007","Asic4","protein_coding",1.67295127861918,-0.106369778454864,0.379327541681047,0.263587455806197,NA
"ENSMUSG00000061024","Rrs1","protein_coding",1862.59383368567,-0.094649870425237,0.0866420460861475,0.257779590648145,0.425480192822626
"ENSMUSG00000102030","Gm29106","protein_coding",4.49400944929775,-0.0171857536836572,0.34143811787083,0.896637555131965,0.941914420339312
"ENSMUSG00000025911","Adhfe1","protein_coding",2012.96433483808,-1.05899339936683,0.0573559403178582,4.50367254623626e-77,6.2305092768217e-75
"ENSMUSG00000067879","Vxn","protein_coding",1.06732908071434,0.0479723110796835,0.368009826024047,0.476570049767417,NA
"ENSMUSG00000057335","Cep170","protein_coding",1971.98796992363,0.298157625416826,0.114196938345425,0.00585577420905365,0.0191325794573951
"ENSMUSG00000025912","Mybl1","protein_coding",72.0958778138262,0.230262808336031,0.205086621785967,0.183788028553801,0.334518046896911
"ENSMUSG00000045210","Vcpip1","protein_coding",1531.08310963412,0.0829037492600352,0.0851486450903256,0.313222410412349,0.486955502076286
"ENSMUSG00000041763","Tpp2","protein_coding",2785.26092376325,0.0697263785747757,0.0730738081518543,0.314845768448751,0.488744976104399
