"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_gene_id","symbol"
14929.1281287735,-2.1702445665386,0.047852930380897,-45.3523859304751,0,0,"ENSMUSG00000045294","Insig1"
101386.65106011,-1.85624462872273,0.045131086568253,-41.1300673187976,0,0,"ENSMUSG00000023019","Gpd1"
9640.48646475705,-2.29944828028736,0.0572130572402788,-40.1909702295811,0,0,"ENSMUSG00000002289","Angptl4"
1800.97495309211,-5.36107637911767,0.145987416498145,-36.7228663107808,3.15256454358597e-295,1.52647175200433e-291,"ENSMUSG00000038754","Elovl3"
2123.89828608086,-2.44104379821755,0.0678023986801343,-36.0023221262931,7.69385802989936e-284,2.98029284646182e-280,"ENSMUSG00000022853","Ehhadh"
14087.318008068,-2.761149543302,0.0796836952150458,-34.651374234721,4.25907258655318e-263,1.37482863093937e-259,"ENSMUSG00000010651","Acaa1b"
3190.1978960663,-2.30040522975424,0.0664167900674069,-34.635898955965,7.28354231108777e-263,2.01525210687354e-259,"ENSMUSG00000008153","Clstn3"
6409.21266161375,-2.52005909620711,0.0748213731762285,-33.6810056970159,1.09683164204071e-248,2.65542940538056e-245,"ENSMUSG00000012428","Steap4"
10759.6959493245,-1.81933211141006,0.0550654720739522,-33.0394354735889,2.20622257180442e-239,4.7477909745231e-236,"ENSMUSG00000019577","Pdk4"
3759.89087147516,-1.71879605461255,0.0529360601367186,-32.4692855904537,2.89466928915317e-231,5.60639547923186e-228,"ENSMUSG00000058454","Dhcr7"
3206.67535665981,-2.04213806242204,0.0641196892533354,-31.8488452798579,1.36566555988317e-222,2.40456459671067e-219,"ENSMUSG00000050860","Phospho1"
12268.5607451763,-1.31168692865745,0.0422696039740956,-31.0314458933967,2.03055526502908e-211,3.27731619775693e-208,"ENSMUSG00000026853","Crat"
1466.58354398804,-2.36804778953546,0.0772095886103721,-30.6703847560372,1.41358563605175e-206,2.10602512300387e-203,"ENSMUSG00000020264","Slc36a2"
7747.57243158781,-1.1690857657411,0.0384252546441424,-30.4249321590199,2.57125546317859e-203,3.55714827220306e-200,"ENSMUSG00000020085","Aifm2"
3640.40042770855,-2.43888912589787,0.0802787677407467,-30.3802511490217,1.00169561344523e-202,1.29338937608048e-199,"ENSMUSG00000022546","Gpt"
183892.10784951,-2.49504182276288,0.0823545706226056,-30.296336971952,1.28105254049869e-201,1.55071410027366e-198,"ENSMUSG00000037071","Scd1"
1779.34891588421,-3.02542101957656,0.10107720270868,-29.9317842055473,7.59572118650614e-197,8.65376046707358e-194,"ENSMUSG00000012705","Retn"
22522.6624308213,-1.31515742205516,0.0445086071040561,-29.5483841806253,6.88862516114565e-192,7.41216067339272e-189,"ENSMUSG00000020190","Mknk2"
2274.0101708909,-3.85913289514317,0.131555805805581,-29.3345692461979,3.75988886475513e-189,3.83271197539881e-186,"ENSMUSG00000027559","Car3"
2720.3629866623,-2.34913744467761,0.0822641775379757,-28.5560193389544,2.36488575863317e-179,2.29015536866037e-176,"ENSMUSG00000075296","Aldh3b2"
5632.26860694475,-1.46773820145884,0.0514879664466059,-28.5064317500461,9.74991109565631e-179,8.99220371907959e-176,"ENSMUSG00000025059","Gk"
17748.9500148094,-1.88336344513679,0.0668071060193759,-28.1910646539691,7.52535015836274e-175,6.62504463032589e-172,"ENSMUSG00000026473","Glul"
11341.9477580021,-1.40003539793323,0.0502574430061691,-27.8572747475707,8.79341139501494e-171,7.40481703907171e-168,"ENSMUSG00000031938","4931406C07Rik"
923.907941447866,-2.86975512038909,0.103259721278036,-27.7916217947364,5.47684014912175e-170,4.41981000034125e-167,"ENSMUSG00000069456","Rdh16"
9226.65937983051,-1.70988033235426,0.0621253234778378,-27.5230813560951,9.29591230979523e-167,7.20172918464456e-164,"ENSMUSG00000033105","Lss"
2677.51128462008,-1.57273653843305,0.0572218174690284,-27.4849106162052,2.65972233217815e-166,1.98128854344717e-163,"ENSMUSG00000046275","Trarg1"
924.159842001906,2.99084312486621,0.109043518473668,27.4279770749368,1.27239041410975e-165,9.12728057054724e-163,"ENSMUSG00000029675","Eln"
4237.1074896658,-1.97042592110437,0.0723850527055169,-27.221447625667,3.62054011266502e-163,2.504379317932e-160,"ENSMUSG00000039956","Mrap"
709.7160259212,-2.44172112492495,0.0902586669462466,-27.0524837950367,3.57093786118022e-161,2.38489394811512e-158,"ENSMUSG00000029304","Spp1"
599.117263741893,-3.33105892043485,0.12378600511308,-26.9098184192299,1.68574452736444e-159,1.08831666686649e-156,"ENSMUSG00000037820","Tgm2"
1360.83521985717,-2.62494608646928,0.0980186191334482,-26.7800761699726,5.51441616452136e-158,3.44526491207902e-155,"ENSMUSG00000027562","Car2"
84774.4397076419,-1.38917516767349,0.0527815347305499,-26.3193401776822,1.15207724635986e-152,6.97294753359303e-150,"ENSMUSG00000030278","Cidec"
