"gene_id","symbol","biotype","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000102135","Gm37108","processed_pseudogene",97.6705655590481,0.29479653283975,0.186089523156932,0.0699053211308624,0.157031577321102
"ENSMUSG00000100764","Gm29155","lncRNA",4.47973091901741,-0.241135597452735,0.414648484349856,0.167504241264931,0.311974434543628
"ENSMUSG00000100635","Gm29157","lncRNA",1.85174079637047,0.158463608153827,0.412383467985873,0.0469558527731506,NA
"ENSMUSG00000100480","Gm29156","lncRNA",4.68086077976023,0.137560291760279,0.368465491037483,0.34628256694279,0.522417881021027
"ENSMUSG00000100025","Gm8141","processed_pseudogene",6.98194213505759,0.203067479633526,0.370306853278553,0.264353183865705,0.433360591153568
"ENSMUSG00000051285","Pcmtd1","protein_coding",2126.23888297674,-0.178232286523642,0.0720909688186255,0.0120903898187103,0.0361312559803705
"ENSMUSG00000103509","Gm38372","TEC",168.972343410076,0.196438687416886,0.315583338421424,0.325272498682366,0.500051102852796
"ENSMUSG00000048538","Gm9826","processed_pseudogene",168.8801882088,0.107141210045231,0.12473210658,0.365692113825863,0.542571231850722
"ENSMUSG00000097797","Gm26901","lncRNA",5.28562619424127,0.12230529208549,0.342565672122668,0.455954826542769,0.627731950560161
"ENSMUSG00000104226","Gm7470","processed_pseudogene",0.894962403725068,0.0226898235955642,0.362464905749596,0.774128380078195,NA
"ENSMUSG00000026312","Cdh7","protein_coding",0.556705413894979,-0.074121349744601,0.377765813506059,0.234927146945925,NA
"ENSMUSG00000039748","Exo1","protein_coding",75.3279843038562,-0.499697719403798,0.206195042467702,0.00488936377215177,0.0163411902569518
"ENSMUSG00000057363","Uxs1","protein_coding",934.536530801485,0.125064387787251,0.0751700734783877,0.0893804338689642,0.191856394012424
"ENSMUSG00000047216","Cdh19","protein_coding",2.68443332129458,-0.319541845087613,0.576779666878773,0.0086676093279277,NA
"ENSMUSG00000090243","Gm16103","processed_pseudogene",7.53409904441556,-0.158621879961184,0.352958064341339,0.357827320179165,0.534588054399111
"ENSMUSG00000100701","Gm19587","processed_pseudogene",42.8579600595255,-0.230233936247358,0.244345034725277,0.224164358576503,0.383906894343023
"ENSMUSG00000100555","Gm8173","processed_pseudogene",10.476052696209,0.279184493859131,0.381286344773073,0.179640602539357,0.328885451364237
"ENSMUSG00000102728","Gm37934","TEC",0.908967489397304,-0.115074366876954,0.390731880663198,0.10912409178547,NA
"ENSMUSG00000038702","Dsel","protein_coding",329.349920455559,0.695328117858202,0.105185558645867,9.89759294535605e-12,1.13699039244161e-10
"ENSMUSG00000101875","Gm6028","processed_pseudogene",2.07914396170461,0.027906551563431,0.353330345721962,0.801275339688691,NA
